bin,scheme,brand,card_type,is_prepaid,country,bank_name,created_at
341142,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
342562,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
360218,diners,Diners Club International,credit,,EC,DINERS CLUB DEL ECUADOR S.A.,1999-01-08 04:05:06
360324,diners,Diners Club International,credit,,CO,Banco Davivienda S.A.,1999-01-08 04:05:06
361766,diners,Diners Club,credit,,CZ,DINERS CLUB INTERNATIONAL CS,1999-01-08 04:05:06
370245,amex,American Express,credit,,VE,BANESCO BANCO UNIVERSAL S.A.,1999-01-08 04:05:06
370266,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371240,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371241,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371270,amex,,credit,,US,DELTA SKYMILES,1999-01-08 04:05:06
371312,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371318,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371331,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371340,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371348,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371380,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371389,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371403,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371512,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371515,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371525,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371530,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371537,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371538,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371543,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371549,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371553,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371556,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371559,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371560,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371566,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371567,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371571,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371576,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371700,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371701,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371702,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371704,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371706,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371708,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371725,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371726,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371727,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371736,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371737,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371741,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371746,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371754,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371758,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371782,amex,,credit,,GB,AMERICAN EXPRESS,1999-01-08 04:05:06
371826,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
371867,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372077,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372170,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372312,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372321,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372341,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
